distname,fid_hex,area_sqkm
Sambhal,"496","12"
Moradabad,"497","208"
Sambhal,"497","207"
Budaun,"497","2"
Sambhal,"498","92"
Budaun,"498","326"
Budaun,"499","419"
Kanshiram Nagar,"500","224"
Budaun,"500","197"
Kanshiram Nagar,"501","407"
Etah,"501","15"
Kanshiram Nagar,"502","57"
Etah,"502","367"
Bijnor,"503","105"
Moradabad,"504","45"
Bijnor,"504","246"
Moradabad,"505","405"
Bijnor,"505","6"
Jhansi,"506","374"
Jhansi,"507","130"
Lalitpur,"507","54"
Lalitpur,"508","358"
Lalitpur,"509","444"
Lalitpur,"510","445"
Lalitpur,"511","397"
Lalitpur,"512","23"
Shahjahanpur,"513","74"
Budaun,"513","348"
Shahjahanpur,"514","134"
Farrukhabad,"514","218"
Budaun,"514","71"
Etah,"515","24"
Farrukhabad,"515","401"
Mainpuri,"516","159"
Farrukhabad,"516","240"
Kannauj,"516","27"
Mainpuri,"517","301"
Etawah,"517","12"
Kannauj,"517","115"
Etawah,"518","173"
Auraiya,"518","235"
Kannauj,"518","21"
Etawah,"519","94"
Auraiya,"519","337"
Etawah,"520","32"
Jalaun,"520","133"
Auraiya,"520","267"
Rampur,"521","63"
Rampur,"522","309"
Bareilly,"522","98"
Rampur,"523","47"
Bareilly,"523","368"
Bareilly,"524","417"
Bareilly,"525","390"
Budaun,"525","29"
Budaun,"526","420"
Jalaun,"527","434"
Jhansi,"528","19"
Jalaun,"528","417"
Jhansi,"529","379"
Jalaun,"529","58"
Jhansi,"530","439"
Mahoba,"531","1"
Jhansi,"531","439"
Jhansi,"532","237"
Kanshiram Nagar,"533","218"
Farrukhabad,"533","60"
Budaun,"533","144"
Kanshiram Nagar,"534","101"
Etah,"534","222"
Farrukhabad,"534","101"
Mainpuri,"535","263"
Etah,"535","144"
Farrukhabad,"535","19"
Mainpuri,"536","427"
Mainpuri,"537","122"
Etawah,"537","306"
Etawah,"538","430"
Etawah,"539","405"
Auraiya,"539","26"
Etawah,"540","25"
Jalaun,"540","304"
Auraiya,"540","1"
Rampur,"541","120"
Rampur,"542","405"
Rampur,"543","415"
Rampur,"544","243"
Bareilly,"544","173"
Bareilly,"545","379"
Budaun,"545","39"
Bareilly,"546","94"
Budaun,"546","325"
Budaun,"547","421"
Lalitpur,"548","52"
Jhansi,"549","373"
Jalaun,"549","24"
Jhansi,"550","436"
Jhansi,"551","286"
Jhansi,"552","228"
Jhansi,"553","0"
Lalitpur,"554","62"
Lalitpur,"555","217"
Bareilly,"556","67"
Shahjahanpur,"556","105"
Pilibhit,"556","246"
Shahjahanpur,"557","420"
Shahjahanpur,"558","422"
Hardoi,"559","190"
Shahjahanpur,"559","226"
Farrukhabad,"559","7"
Hardoi,"560","258"
Shahjahanpur,"560","47"
Farrukhabad,"560","119"
Hardoi,"561","228"
Farrukhabad,"561","135"
Kannauj,"561","63"
Kannauj,"562","428"
Kanpur Dehat,"563","19"
Auraiya,"563","106"
Kannauj,"563","304"
Bareilly,"564","19"
Pilibhit,"564","230"
Bareilly,"565","6"
Pilibhit,"565","410"
Bareilly,"566","154"
Pilibhit,"566","263"
Kanpur Dehat,"567","39"
Auraiya,"567","393"
Kanpur Dehat,"568","212"
Jalaun,"568","156"
Auraiya,"568","65"
Kanpur Dehat,"569","0"
Jalaun,"569","434"
Jalaun,"570","372"
Hamirpur,"570","64"
Jalaun,"571","14"
Hamirpur,"571","423"
Mahoba,"572","88"
Hamirpur,"572","351"
Mahoba,"573","436"
Mahoba,"574","264"
Bareilly,"575","320"
Shahjahanpur,"575","58"
Budaun,"575","41"
Bareilly,"576","6"
Shahjahanpur,"576","352"
Budaun,"576","62"
Shahjahanpur,"577","422"
Budaun,"577","1"
Shahjahanpur,"578","98"
Farrukhabad,"578","326"
Farrukhabad,"579","425"
Farrukhabad,"580","130"
Kannauj,"580","297"
Auraiya,"581","45"
Kannauj,"581","383"
Auraiya,"582","430"
Rampur,"583","2"
Bareilly,"583","55"
Bareilly,"584","399"
Pilibhit,"584","16"
Bareilly,"585","403"
Pilibhit,"585","13"
